,Conditions,Drug,Smiles,Disease
0,Multiple Myeloma,Bortezomib,B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,cardiovascular_disease
1,Multiple Myeloma,Dexamethasone,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C,cardiovascular_disease
2,Myeloma,Minocycline,CN(C)C1C2CC3CC4=C(C=CC(=C4C(=C3C(=O)C2(C(=C(C1=O)C(=O)N)O)O)O)O)N(C)C,cardiovascular_disease
3,Myeloma,Ciclosporin,CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,cardiovascular_disease
4,Myeloma,Chloroquine,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl,cardiovascular_disease
5,Progressive Familial Intrahepatic Cholestasis|Alagille Syndrome|Cholestatic Liver Disease,Maralixibat,CCCCC1(CS(=O)(=O)C2=C(C=C(C=C2)N(C)C)C(C1O)C3=CC=C(C=C3)OCC4=CC=C(C=C4)C[N+]56CCN(CC5)CC6)CCCC,cardiovascular_disease
8,Myeloma,Gemcitabine,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F,cardiovascular_disease
9,Myeloma,Busulfan,CS(=O)(=O)OCCCCOS(=O)(=O)C,cardiovascular_disease
10,Myeloma,Melphalan,C1=CC(=CC=C1CC(C(=O)O)N)N(CCCl)CCCl,cardiovascular_disease
11,Hypertension,Azilsartan,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NOC(=O)N5)C(=O)O,cardiovascular_disease
16,Hypertension,Olmesartan,CCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)O)C(C)(C)O,cardiovascular_disease
17,Cardiovascular Disease|Sudden Cardiac Death,Alfacalcidol,CC(C)CCCC(C)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C,cardiovascular_disease
18,Cardiovascular Disease|Sudden Cardiac Death,Ergocalciferol,CC(C)C(C)C=CC(C)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C,cardiovascular_disease
21,"Fascicular Block|Motor Activity|Pain, Postoperative|Latency Period",Clonidine,C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl,cardiovascular_disease
22,"Fascicular Block|Motor Activity|Pain, Postoperative|Latency Period",Lidocaine,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,cardiovascular_disease
24,Sturge-Weber Syndrome,Cannabidiol,CCCCCC1=CC(=C(C(=C1)O)C2C=C(CCC2C(=C)C)C)O,cardiovascular_disease
31,Essential Hypertension|Hyperlipidemia,Telmisartan,CCCC1=NC2=C(N1CC3=CC=C(C=C3)C4=CC=CC=C4C(=O)O)C=C(C=C2C)C5=NC6=CC=CC=C6N5C,cardiovascular_disease
32,Essential Hypertension|Hyperlipidemia,Atorvastatin,CC(C)C1=C(C(=C(N1CCC(CC(CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4,cardiovascular_disease
34,"Hypertension|Hypertension, Essential",Trimethaphan,C1CC2C3C(C[S+]2C1)N(C(=O)N3CC4=CC=CC=C4)CC5=CC=CC=C5,cardiovascular_disease
35,"Hypertension|Hypertension, Essential",Phenylephrine,CNCC(C1=CC(=CC=C1)O)O,cardiovascular_disease
36,Multiple Myeloma,Cobimetinib,C1CCNC(C1)C2(CN(C2)C(=O)C3=C(C(=C(C=C3)F)F)NC4=C(C=C(C=C4)I)F)O,cardiovascular_disease
37,Multiple Myeloma,Venetoclax,CC1(CCC(=C(C1)C2=CC=C(C=C2)Cl)CN3CCN(CC3)C4=CC(=C(C=C4)C(=O)NS(=O)(=O)C5=CC(=C(C=C5)NCC6CCOCC6)[N+](=O)[O-])OC7=CN=C8C(=C7)C=CN8)C,cardiovascular_disease
39,Hypertension,Perindopril,CCCC(C(=O)OCC)NC(C)C(=O)N1C2CCCCC2CC1C(=O)O,cardiovascular_disease
